Symbol,Name,Options?
HAF,Horizons Active Advantage Yield ETF,No
HAF.A,Horizons Active Advantage Yield ETF (Advisor Units),No
HAG,Horizons Gartman ETF,No
HAG.A,Horizons Gartman ETF (Advisor Units),No
HAH,Horizons S&P/TSX 60 130/30 ETF,No
HAJ,Horizons Active Emerging Markets Dividend ETF,No
HAJ.A,Horizons Active Emerging Markets Dividend ETF (Advisor Units),No
HAL,Horizons AlphaPro Dividend ETF,No
HAP,Horizons Active Income Plus ETF,No
HAP.A,Horizons Active Income Plus ETF (Advisor Units),No
HAV,Horizons AlphaPro North American Value ETF,No
HAW,Horizons AlphaPro North American Growth ETF,No
HAZ,Horizons AlphaPro Global Dividend ETF,No
HBD,Horizons BetaPro COMEX Gold Bullion Bear+ ETF,No
HBU,Horizons BetaPro COMEX Gold Bullion Bull+ ETF,No
HDD,Horizons BetaPro U.S. Dollar Bear+ ETF,No
HDU,Horizons BetaPro U.S. Dollar Bull+ ETF,No
HEA.U,Horizons Enhanced Income US Equity (USD) ETF,No
HEA.V,Horizons Enhanced Income US Equity (USD) ETF (Advisor Units),No
HED,Horizons BetaPro S&P/TSX Capped Energy Bear+ ETF,Yes
HEE,Horizons Enhanced Income Energy ETF,No
HEE.A,Horizons Enhanced Income Energy ETF (Advisor Units,No
HEF,Horizons Enhanced Income Financials ETF,No
HEF.A,Horizons Enhanced Income Financials ETF (Advisor Units),No
HEJ,Horizons Enhanced Income International Equity ETF,No
HEJ.A,Horizons Enhanced Income International Equity ETF (Advisor Units),No
HEP,Horizons Enhanced Income Gold Producers ETF,No
HEP.A,Horizons Enhanced Income Gold Producers ETF (Advisor Units),No
HES,Horizons Enhanced U.S. Equity Income ETF,No
HES.A,Horizons Enhanced U.S. Equity Income ETF (Advisor Units),No
HEU,Horizons BetaPro S&P/TSX Capped Energy Bull+ ETF,Yes
HEW,Horizons AlphaPro S&P/TSX 60 Equal Weight Index ETF,No
HEX,Horizons Enhanced Income Equity ETF,No
HEX.A,Horizons Enhanced Income Equity ETF (Advisor Units),No
HFD,Horizons BetaPro S&P/TSX Capped Financials Bear+ ETF,Yes
HFR,Horizons AlphaPro Floating Rate Bond ETF,No
HFU,Horizons BetaPro S&P/TSX Capped Financials Bull+ ETF,Yes
HGD,Horizons BetaPro S&P/TSX Global Gold Bear+ ETF,Yes
HGU,Horizons BetaPro S&P/TSX Global Gold Bull+ ETF,Yes
HIE,Horizons BetaPro S&P/TSX Capped Energy Inverse ETF,No
HIF,Horizons BetaPro S&P/TSX Capped Financial Inverse ETF,No
HIG,Horizons BetaPro S&P/TSX Global Gold Inverse ETF,No
HIU,Horizons BetaPro S&P 500 Inverse ETF,No
HIX,Horizons BetaPro S&P/TSX 60 Inverse ETF,Yes
HJD,Horizons BetaPro MSCI Emerging Markets Bear+ ETF,No
HJU,Horizons BetaPro MSCI Emerging Markets Bull+ ETF,No
HKD,Horizons BetaPro Comex® Copper Bear Plus ETF,No
HKU,Horizons BetaPro Comex® Copper Bull Plus ETF,No
HMD,Horizons BetaPro S&P/TSX Global Base Metals Bear Plus ETF,No
HMF,Horizons Auspice Managed Futures Index ETF,No
HMF.A,Horizons Auspice Managed Futures Index ETF,
HMU,Horizons BetaPro S&P/TSX Global Base Metals Bull Plus ETF,No
HND,Horizons BetaPro NYMEX Natural Gas Bear+ ETF,Yes
HNU,Horizons BetaPro NYMEX Natural Gas Bull+ ETF,Yes
HNY,Horizons Natural Gas Yield ETF,No
HNY.A,Horizons Natural Gas Yield ETF (Advisor Units),No
HOD,Horizons BetaPro NYMEX Crude Oil Bear+ ETF,Yes
HOU,Horizons BetaPro NYMEX Crude Oil Bull+ ETF,Yes
HOY,Horizons Crude Oil Yield ETF,No
HOY.A,Horizons Crude Oil Yield ETF (Advisor Units),No
HPR,Horizons AlphaPro Preferred Share ETF,No
HQD,Horizons BetaPro NASDAQ-100 Bear+ ETF,No
HQU,Horizons BetaPro NASDAQ-100 Bull+ ETF,No
HSD,Horizons BetaPro S&P 500 Bear+ ETF,No
HSU,Horizons BetaPro S&P 500 Bull+ ETF,No
HTD,Horizons BetaPro U.S. 30-Yr Bond Bear+ ETF,No
HUC,Horizons BetaPro Winter-Term NYMEX ® Crude Oil ETF,No
HUF.U,Horizons U.S. Floating Rate Bond ETF (USD),No
HUF.V,Horizons U.S. Floating Rate Bond ETF (Advisor Units),No
HUG,Horizons BetaPro COMEX® Gold ETF,No
HUK,Horizons BetaPro COMEX Copper ETF,No
HUN,Horizons BetaPro Winter-Term NYMEX ® Natural Gas ETF,No
HUV,Horizons BetaPro S&P 500 VIX Short-Term Futures ETF,No
HUZ,Horizons BetaPro COMEX® Silver ETF,No
HVI,Horizons BetaPro S&P 500 VIX Short-Term Futures™ Inverse ETF,No
HVU,Horizons BetaPro S&P 500 VIX Short-Term Futures Bull Plus ETF,No
HXD,Horizons BetaPro S&P/TSX 60 Bear+ ETF,Yes
HXS,Horizons BetaPro S&P 500 Index (C$ Hedged) ETF,No
HXT,Horizons BetaPro S&P/TSX 60 Index ETF,Yes
HXT.U,Horizons BetaPro S&P/TSX 60 Index ETF (traded in U.S. Dollars),No
HXU,Horizons BetaPro S&P/TSX 60 Bull+ ETF,Yes
HYI,Horizons High Yield Bond ETF,No
HYI.A,Horizons High Yield Bond ETF (Advisor Units),No
HZD,Horizons BetaPro COMEX Silver Bear+ ETF,No
HZU,Horizons BetaPro COMEX Silver Bull+ ETF,No
HZY,Horizons Silver Yield ETF,No
HZY.A,Horizons Silver Yield ETF(Advisor Units),No
IGT,iShares Gold Trust,No
II,iPath® Optimized Currency Carry ETN,No
II.U,iPath® Optimized Currency Carry ETN,No
JYN,iPath® JPY/USD Exchange Rate ETN,No
JYN.U,iPath® JPY/USD Exchange Rate ETN,No
KXF,First Asset DEX Corporate Bond Barbell Index ETF,No
KXF.A,First Asset DEX Corporate Bond Barbell Index ETF (Advisor Units),No
LXF,First Asset Can-60 Covered Call ETF,No
LXF.A,First Asset Can-60 Covered Call ETF (Advisor Units),No
MXF,First Asset Can-Materials Covered Call ETF,No
MXF.A,First Asset Can-Materials Covered Call ETF (Advisor Units),No
OXF,First Asset Can-Energy Covered Call ETF,No
OXF.A,First Asset Can-Energy Covered Call ETF (Advisor Units),No
PDC,PowerShares Canadian Dividend Index ETF,No
PFH,PowerShares Fundamental High Yield Corporate Bond (CAD Hedged) Index ETF,No
PGL,PowerShares Ultra DLUX Long Term Government Bond Index ETF,No
PPS,PowerShares Canadian Preferred Share Index ETF,No
PSB,PowerShares 1- 5 Year Laddered Investment Grade Corporate Bond Index ETF,No
PTB,PowerShares Tactical Bond ETF,No
PXC,PowerShares FTSE RAFI Canadian Fundamental Index ETF,No
PXU,PowerShares FTSE RAFI US Fundamental (CAD Hedged) Index ETF,No
QQC,PowerShares QQQ (CAD Hedged) Index ETF,No
QXM,First Asset Morningstar National Bank Quebec Index ETF,No
QXM.A,First Asset Morningstar National Bank Quebec Index ETF (Advisor Units),No
RQA,RBC Target 2013 Corporate Bond ETF,No
RQB,RBC Target 2014 Corporate Bond ETF,No
RQC,RBC Target 2015 Corporate Bond ETF,No
RQD,RBC Target 2016 Corporate Bond ETF,No
RQE,RBC Target 2017 Corporate Bond ETF,No
RQF,RBC Target 2018 Corporate Bond ETF,No
RQG,RBC Target 2019 Corporate Bond ETF,No
RQH,RBC Target 2020 Corporate Bond ETF,No
RQI,RBC Target 2021 Corporate Bond Index ETF,No
SST,iPath US Treasury Steepener ETN,No
SST.U,iPath US Treasury Steepener ETN,No
SVR,iShares Silver Bullion Fund,No
SVR.C,iShares Silver Bullion Fund,No
TXF,First Asset Tech Giants Covered Call ETF,No
TXF.A,First Asset Tech Giants Covered Call ETF (Advisor Units),No
ULV,PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF,No
UXM,First Asset Morningstar US Dividend Target 50 Index ETF,No
UXM.A,First Asset Morningstar US Dividend Target 50 Index ETF (Advisor Units),No
VAB,Vanguard Canadian Aggregate Bond Index ETF,No
VCE,Vanguard MSCI Canada Index ETF,No
VDY,Vanguard FTSE Canadian High Dividend Yield Index ETF,No
VEE,Vanguard MSCI Emerging Markets Index ETF,No
VEF,Vanguard MSCI EAFE Index ETF (CAD-hedged),No
VFV,Vanguard S&P 500 Index ETF,No
VRE,Vanguard FTSE Canadian Capped REIT Index ETF,No
VSB,Vanguard Canadian Short-Term Bond Index ETF,No
VSC,Vanguard Canadian Short-Term Corporate Bond Index ETF,No
VSP,Vanguard S&P 500 Index ETF (CAD-hedged),No
VUS,Vanguard MSCI U.S. Broad Market Index ETF (CAD-hedged),No
VXX,iPath® S&P 500 VIX Short-Term Futures ETN,No
VXX.U,iPath® S&P 500 VIX Short-Term Futures ETN,No
VXZ,iPath® S&P 500 VIX Mid-Term Futures ETN,No
VXZ.U,iPath® S&P 500 VIX Mid-Term Futures ETN,No
WXM,First Asset Morningstar Canada Momentum Index ETF,No
WXM.A,First Asset Morningstar Canada Momentum Index ETF (Advisor Units),No
XAL,iShares Alternatives Complete Portfolio Builder Fund,No
XBB,iShares DEX Universe Bond Index Fund,No
XBM,iShares S&P/TSX Global Base Metals Index Fund,No
XBZ,iShares MSCI Brazil Index Fund ETF,No
XCB,iShares DEX All Corporate Bond Index Fund,Yes
XCG,iShares Dow Jones Canada Select Growth Index Fund,No
XCH,iShares China Index Fund ETF,No
XCR,iShares Conservative Core Portfolio Builder Fund,No
XCS,iShares S&P/TSX SmallCap Index Fund,No
XCV,iShares Dow Jones Canada Select Value Index Fund,No
XDV,iShares Dow Jones Canada Select Dividend Index Fund,Yes
XEB,iShares J.P. Morgan USD Emerging Markets Bond Index Fund (CAD-Hedged),No
XEG,iShares S&P/TSX Capped Energy Index Fund,Yes
XEI,iShares S&P/TSX Equity Income Index Fund,No
XEM,iShares MSCI Emerging Markets Index Fund ETF,No
XEN,iShares Jantzi Social Index Fund,No
XFN,iShares S&P/TSX Capped Financials Index Fund,Yes
XFR,iShares DEX Floating Rate Note Index Fund,No
XGB,iShares DEX All Government Bond Index Fund,No
XGC,iShares Global Completion Portfolio Builder Fund,No
XGD,iShares S&P/TSX Global Gold Index Fund,Yes
XGR,iShares Growth Core Portfolio Builder Fund,No
XHB,iShares DEX HYBrid Bond Index Fund,No
XHC,iShares S&P Global Healthcare Index Fund (CAD-Hedged),No
XHD,iShares U.S. High Dividend Equity Index Fund (CAD-Hedged),No
